age,extent_consider_informed,likelihood_home_improvement,likelihood_reduce_hydro,likelihood_minimize_car,likelihood_vehicle_electric,likelihood_protein_alternative,likelihood_reduce_waste,likelihood_green_product,likelihood_short_distance,likelihood_sort_waste,unlikelihood_home_improvement_confusing,unlikelihood_home_improvement_individual_difference,unlikelihood_home_improvement_ineffective,unlikelihood_home_improvement_costly,unlikelihood_home_improvement_unavailable,unlikelihood_home_improvement_inconvenient,unlikelihood_home_improvement_uninterested,unlikelihood_home_improvement_other,unlikelihood_reduce_hydro_confusing,unlikelihood_reduce_hydro_individual_difference,unlikelihood_reduce_hydro_ineffective,unlikelihood_reduce_hydro_costly,unlikelihood_reduce_hydro_unavailable,unlikelihood_reduce_hydro_inconvenient,unlikelihood_reduce_hydro_uninterested,unlikelihood_reduce_hydro_other,unlikelihood_minimize_car_confusing,unlikelihood_minimize_car_individual_difference,unlikelihood_minimize_car_ineffective,unlikelihood_minimize_car_costly,unlikelihood_minimize_car_unavailable,unlikelihood_minimize_car_inconvenient,unlikelihood_minimize_car_uninterested,unlikelihood_minimize_car_other,unlikelihood_vehicle_electric_confusing,unlikelihood_vehicle_electric_individual_difference,unlikelihood_vehicle_electric_ineffective,unlikelihood_vehicle_electric_costly,unlikelihood_vehicle_electric_unavailable,unlikelihood_vehicle_electric_inconvenient,unlikelihood_vehicle_electric_uninterested,unlikelihood_vehicle_electric_other,unlikelihood_meat_alternative_confusing,unlikelihood_meat_alternative_individual_difference,unlikelihood_meat_alternative_ineffective,unlikelihood_meat_alternative_costly,unlikelihood_meat_alternative_unavailable,unlikelihood_meat_alternative_inconvenient,unlikelihood_meat_alternative_uninterested,unlikelihood_meat_alternative_other,unlikelihood_reduce_waste_confusing,unlikelihood_reduce_waste_individual_difference,unlikelihood_reduce_waste_ineffective,unlikelihood_reduce_waste_costly,unlikelihood_reduce_waste_unavailable,unlikelihood_reduce_waste_inconvenient,unlikelihood_reduce_waste_uninterested,unlikelihood_reduce_waste_other,unlikelihood_green_product_confusing,unlikelihood_green_product_individual_difference,unlikelihood_green_product_ineffective,unlikelihood_green_product_costly,unlikelihood_green_product_unavailable,unlikelihood_green_product_inconvenient,unlikelihood_green_product_uninterested,unlikelihood_green_product_other,unlikelihood_short_distance_confusing,unlikelihood_short_distance_individual_difference,unlikelihood_short_distance_ineffective,unlikelihood_short_distance_costly,unlikelihood_short_distance_unavailable,unlikelihood_short_distance_inconvenient,unlikelihood_short_distance_uninterested,unlikelihood_short_distance_other,unlikelihood_sort_waste_confusing,unlikelihood_sort_waste_individual_difference,unlikelihood_sort_waste_ineffective,unlikelihood_sort_waste_costly,unlikelihood_sort_waste_unavailable,unlikelihood_sort_waste_inconvenient,unlikelihood_sort_waste_uninterested,unlikelihood_sort_waste_other,delivery_method_toronto.ca_website,delivery_method_events,delivery_method_twitter,delivery_method_facebook,delivery_method_instagram,delivery_method_enewsletter_email,delivery_method_councillor_communication,delivery_method_advertising_campaigns,delivery_method_brochures_pamphlets,delivery_method_other,delivery_method_not_interested_receiving,highest_level_educ
33,Not very informed,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Very likely,Somewhat likely,Very likely,Very likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Some university
70,Very informed,Somewhat unlikely,Already doing this or have done this,Somewhat likely,Very likely,Somewhat likely,Very likely,Very likely,Already doing this or have done this,Already doing this or have done this,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Completed undergraduate degree
59,Extremely informed,Somewhat likely,Very likely,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Already doing this or have done this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Post graduate/professional school
31,Not very informed,Very likely,Very likely,Already doing this or have done this,Very unlikely,Very likely,Somewhat likely,Somewhat likely,Already doing this or have done this,Very likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Post graduate/professional school
43,Very informed,Somewhat likely,Somewhat likely,Very likely,Very unlikely,Somewhat likely,Somewhat likely,Very likely,Already doing this or have done this,Very likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,"Completed community college, vocational, trade school"
60,Very informed,Already doing this or have done this,Already doing this or have done this,Somewhat likely,Very likely,Very likely,Very likely,Very likely,Very likely,Already doing this or have done this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Completed undergraduate degree
68,Very informed,Already doing this or have done this,Already doing this or have done this,Very likely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,Very likely,Already doing this or have done this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,"Completed community college, vocational, trade school"
34,Very informed,Somewhat unlikely,Very likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Very likely,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Post graduate/professional school
38,Very informed,Already doing this or have done this,Very likely,Very likely,Very unlikely,Somewhat unlikely,Already doing this or have done this,Somewhat unlikely,Very likely,Already doing this or have done this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Post graduate/professional school
46,Extremely informed,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,Post graduate/professional school
76,Not very informed,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Very likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,High school or less
41,Very informed,Very likely,Very likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Very likely,Very likely,Very likely,Very likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toronto.ca website,events,twitter,facebook,instagram,enewsletter email,councillor communication,advertising campaigns,brochures pamphlets,other,not interested_receiving,"Some community college, vocational, trade school"
