Age Group,Percentage...2,Education Level,Percentage...6,Extent Informed,Percentage...10,Likelihood to Take Action,Purchase energy efficient appliances,Install a programmable thermostat,Install LED lightbulbs,Major home renovations,Add solar panels to home,Get EnerGuide home energy evaluation,Reduce water use,Use public transit more,Cycle more,Walk more,Purchase electric/hybrid vehicle in next 1-3 years,Reduce meat consumption,Reduce own waste,Purchase environmentally friendly items,Sorting waste into correct bins,Communication Method,Percentage...46
18-23,11,Less than high school,6,Extremely informed,13,Very likely,25,19,28,13,9,14,21,22,16,25,14,15,25,23,31,Toronto.ca website,44
24-39,30,High School or equivalent,32,Very informed,48,Somewhat likely,34,22,23,27,16,27,30,22,23,29,24,24,33,40,22,City of Toronto events,31
40-55,26,Degree or diploma from a college or university,26,Only a little informed,37,Somewhat unlikely,7,11,6,18,23,22,15,12,16,9,19,20,7,12,6,Twitter,17
56+,33,"Graduate or professional degree (examples: Master, PhD, MD or LLB/JD)",35,Not at all informed,2,Very unlikely,4,9,5,14,30,14,8,15,20,5,20,21,4,6,3,Facebook,26
NA,NA,Prefer not to answer,1,NA,NA,Already doing/done in past year,25,30,35,16,1,11,21,19,9,27,3,17,28,16,36,Instagram,25
NA,NA,DK/NS,0,NA,NA,Not applicable,4,10,4,13,20,12,4,9,17,4,20,4,2,2,3,City of Toronto e-newsletters / email,43
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Councillor e-newsletters,24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advertising campaigns,42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Printed or online brochures, pamphlets",31
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BetterHomesTO.ca website,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not interested in receiving information,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mail/ letter,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nothing,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,0
